position,velocity,density,energy,pressure
-0.598125, 0.000000, 0.541667, 2.500000, 0.541667 
-0.596250, 0.000000, 0.623407, 2.500000, 0.623407 
-0.594375, 0.000000, 0.700518, 2.500000, 0.700518 
-0.592500, 0.000000, 0.770398, 2.500000, 0.770398 
-0.590625, 0.000000, 0.831111, 2.500000, 0.831111 
-0.588750, 0.000000, 0.881523, 2.500000, 0.881523 
-0.586875, 0.000000, 0.921344, 2.500000, 0.921344 
-0.585000, 0.000000, 0.951076, 2.500000, 0.951076 
-0.583125, 0.000000, 0.971867, 2.500000, 0.971867 
-0.581250, 0.000000, 0.985303, 2.500000, 0.985303 
-0.579375, 0.000000, 0.993167, 2.500000, 0.993167 
-0.577500, 0.000000, 0.997200, 2.500000, 0.997200 
-0.575625, 0.000000, 0.998910, 2.500000, 0.998910 
-0.573750, 0.000000, 0.999438, 2.500000, 0.999438 
-0.571875, 0.000000, 0.999516, 2.500000, 0.999516 
-0.570000, 0.000000, 0.999506, 2.500000, 0.999506 
-0.568125, 0.000000, 0.999515, 2.500000, 0.999515 
-0.566250, 0.000000, 0.999546, 2.500000, 0.999546 
-0.564375, 0.000000, 0.999596, 2.500000, 0.999596 
-0.562500, 0.000000, 0.999658, 2.500000, 0.999658 
-0.560547, 0.000605, 0.999727, 2.499716, 0.999614 
-0.558730, 0.000032, 0.999791, 2.499788, 0.999707 
-0.556877, -0.000143, 0.999850, 2.499850, 0.999791 
-0.555009, -0.000194, 0.999901, 2.499902, 0.999863 
-0.553134, -0.000163, 0.999941, 2.499943, 0.999919 
-0.551253, -0.000061, 0.999968, 2.499972, 0.999958 
-0.549367, 0.000087, 0.999984, 2.499988, 0.999980 
-0.547483, 0.000165, 0.999990, 2.499994, 0.999989 
-0.545606, 0.000174, 0.999990, 2.499993, 0.999987 
-0.543731, 0.000151, 0.999986, 2.499988, 0.999982 
-0.541859, 0.000109, 0.999983, 2.499985, 0.999978 
-0.539987, 0.000056, 0.999984, 2.499985, 0.999978 
-0.538116, 0.000004, 0.999990, 2.499991, 0.999986 
-0.536245, -0.000045, 1.000001, 2.500002, 1.000001 
-0.534372, -0.000075, 1.000015, 2.500016, 1.000020 
-0.532498, -0.000067, 1.000027, 2.500028, 1.000038 
-0.530619, 0.000014, 1.000035, 2.500035, 1.000048 
-0.528738, 0.000129, 1.000033, 2.500033, 1.000045 
-0.526860, 0.000161, 1.000024, 2.500024, 1.000033 
-0.524985, 0.000136, 1.000014, 2.500013, 1.000019 
-0.523112, 0.000087, 1.000008, 2.500005, 1.000010 
-0.521239, 0.000033, 1.000007, 2.500003, 1.000008 
-0.519366, -0.000013, 1.000012, 2.500007, 1.000015 
-0.517493, -0.000041, 1.000021, 2.500015, 1.000027 
-0.515619, -0.000045, 1.000030, 2.500023, 1.000040 
-0.513743, -0.000021, 1.000038, 2.500030, 1.000051 
-0.511867, 0.000037, 1.000043, 2.500034, 1.000058 
-0.509990, 0.000111, 1.000045, 2.500035, 1.000061 
-0.508114, 0.000138, 1.000046, 2.500036, 1.000062 
-0.506239, 0.000129, 1.000047, 2.500037, 1.000065 
-0.504364, 0.000105, 1.000051, 2.500040, 1.000070 
-0.502490, 0.000078, 1.000058, 2.500047, 1.000080 
-0.500616, 0.000054, 1.000068, 2.500058, 1.000095 
-0.498742, 0.000039, 1.000080, 2.500071, 1.000113 
-0.496867, 0.000041, 1.000093, 2.500084, 1.000131 
-0.494992, 0.000059, 1.000104, 2.500095, 1.000146 
-0.493117, 0.000094, 1.000112, 2.500104, 1.000159 
-0.491242, 0.000135, 1.000118, 2.500110, 1.000167 
-0.489366, 0.000166, 1.000121, 2.500113, 1.000171 
-0.487492, 0.000175, 1.000123, 2.500116, 1.000174 
-0.485617, 0.000174, 1.000124, 2.500118, 1.000175 
-0.483742, 0.000168, 1.000125, 2.500120, 1.000177 
-0.481868, 0.000162, 1.000127, 2.500123, 1.000180 
-0.479993, 0.000158, 1.000130, 2.500127, 1.000183 
-0.478118, 0.000156, 1.000132, 2.500131, 1.000186 
-0.476243, 0.000157, 1.000134, 2.500134, 1.000188 
-0.474369, 0.000160, 1.000135, 2.500136, 1.000190 
-0.472494, 0.000163, 1.000135, 2.500136, 1.000190 
-0.470619, 0.000165, 1.000134, 2.500136, 1.000188 
-0.468744, 0.000165, 1.000132, 2.500135, 1.000185 
-0.466870, 0.000164, 1.000129, 2.500132, 1.000182 
-0.464995, 0.000162, 1.000126, 2.500130, 1.000177 
-0.463120, 0.000159, 1.000123, 2.500127, 1.000173 
-0.461245, 0.000155, 1.000120, 2.500124, 1.000168 
-0.459371, 0.000152, 1.000117, 2.500121, 1.000164 
-0.457496, 0.000148, 1.000113, 2.500118, 1.000159 
-0.455621, 0.000144, 1.000110, 2.500115, 1.000154 
-0.453746, 0.000140, 1.000106, 2.500111, 1.000148 
-0.451872, 0.000136, 1.000102, 2.500108, 1.000143 
-0.449997, 0.000132, 1.000098, 2.500104, 1.000137 
-0.448122, 0.000128, 1.000094, 2.500100, 1.000132 
-0.446247, 0.000123, 1.000090, 2.500096, 1.000126 
-0.444372, 0.000118, 1.000086, 2.500092, 1.000120 
-0.442498, 0.000113, 1.000082, 2.500087, 1.000114 
-0.440623, 0.000108, 1.000077, 2.500083, 1.000108 
-0.438748, 0.000103, 1.000073, 2.500079, 1.000102 
-0.436873, 0.000098, 1.000069, 2.500075, 1.000097 
-0.434998, 0.000093, 1.000065, 2.500071, 1.000091 
-0.433123, 0.000088, 1.000062, 2.500067, 1.000086 
-0.431248, 0.000083, 1.000058, 2.500063, 1.000080 
-0.429374, 0.000079, 1.000054, 2.500059, 1.000075 
-0.427499, 0.000074, 1.000051, 2.500055, 1.000070 
-0.425624, 0.000069, 1.000047, 2.500052, 1.000065 
-0.423749, 0.000065, 1.000044, 2.500048, 1.000061 
-0.421874, 0.000060, 1.000041, 2.500045, 1.000056 
-0.419999, 0.000056, 1.000038, 2.500042, 1.000052 
-0.418124, 0.000052, 1.000035, 2.500039, 1.000048 
-0.416249, 0.000048, 1.000032, 2.500036, 1.000044 
-0.414374, 0.000045, 1.000030, 2.500033, 1.000041 
-0.412499, 0.000041, 1.000027, 2.500030, 1.000037 
-0.410624, 0.000038, 1.000025, 2.500028, 1.000034 
-0.408750, 0.000035, 1.000023, 2.500025, 1.000031 
-0.406875, 0.000032, 1.000021, 2.500023, 1.000028 
-0.405000, 0.000029, 1.000019, 2.500021, 1.000026 
-0.403125, 0.000026, 1.000017, 2.500019, 1.000023 
-0.401250, 0.000024, 1.000016, 2.500017, 1.000021 
-0.399375, 0.000022, 1.000014, 2.500016, 1.000019 
-0.397500, 0.000020, 1.000013, 2.500014, 1.000017 
-0.395625, 0.000018, 1.000012, 2.500013, 1.000015 
