position,velocity,density,energy,pressure
-0.598125, 0.000000, 0.541667, 2.500000, 0.541667 
-0.596250, 0.000000, 0.623407, 2.500000, 0.623407 
-0.594375, 0.000000, 0.700518, 2.500000, 0.700518 
-0.592500, 0.000000, 0.770398, 2.500000, 0.770398 
-0.590625, 0.000000, 0.831111, 2.500000, 0.831111 
-0.588750, 0.000000, 0.881524, 2.500000, 0.881524 
-0.586875, 0.000000, 0.921351, 2.500000, 0.921351 
-0.585000, 0.000000, 0.951102, 2.500000, 0.951102 
-0.583125, 0.000000, 0.971927, 2.500000, 0.971927 
-0.581250, 0.000000, 0.985410, 2.500000, 0.985410 
-0.579375, 0.000000, 0.993331, 2.500000, 0.993331 
-0.577500, 0.000000, 0.997424, 2.500000, 0.997424 
-0.575625, 0.000000, 0.999188, 2.500000, 0.999188 
-0.573750, 0.000000, 0.999757, 2.500000, 0.999757 
-0.571875, 0.000000, 0.999859, 2.500000, 0.999859 
-0.570000, 0.000000, 0.999854, 2.500000, 0.999854 
-0.568125, 0.000000, 0.999851, 2.500000, 0.999851 
-0.566250, 0.000000, 0.999856, 2.500000, 0.999856 
-0.564375, 0.000000, 0.999872, 2.500000, 0.999872 
-0.562500, 0.000000, 0.999897, 2.500000, 0.999897 
-0.560607, 0.001007, 0.999928, 2.499909, 0.999901 
-0.558742, 0.000433, 0.999964, 2.499954, 0.999952 
-0.556871, 0.000198, 1.000001, 2.499999, 1.000005 
-0.554998, 0.000114, 1.000036, 2.500042, 1.000055 
-0.553123, 0.000095, 1.000067, 2.500079, 1.000097 
-0.551248, 0.000110, 1.000090, 2.500108, 1.000131 
-0.549373, 0.000137, 1.000106, 2.500126, 1.000152 
-0.547498, 0.000162, 1.000113, 2.500135, 1.000162 
-0.545623, 0.000178, 1.000112, 2.500135, 1.000160 
-0.543748, 0.000182, 1.000106, 2.500127, 1.000151 
-0.541873, 0.000177, 1.000096, 2.500115, 1.000135 
-0.539998, 0.000164, 1.000084, 2.500100, 1.000117 
-0.538123, 0.000145, 1.000072, 2.500086, 1.000100 
-0.536249, 0.000124, 1.000061, 2.500074, 1.000085 
-0.534374, 0.000103, 1.000053, 2.500064, 1.000073 
-0.532499, 0.000085, 1.000047, 2.500057, 1.000064 
-0.530624, 0.000073, 1.000042, 2.500052, 1.000058 
-0.528749, 0.000065, 1.000038, 2.500047, 1.000052 
-0.526875, 0.000059, 1.000034, 2.500042, 1.000045 
-0.525000, 0.000053, 1.000029, 2.500037, 1.000039 
-0.523125, 0.000046, 1.000025, 2.500031, 1.000033 
-0.521250, 0.000040, 1.000021, 2.500026, 1.000027 
-0.519375, 0.000034, 1.000017, 2.500022, 1.000022 
-0.517500, 0.000028, 1.000014, 2.500018, 1.000018 
-0.515625, 0.000023, 1.000012, 2.500015, 1.000014 
-0.513750, 0.000019, 1.000009, 2.500012, 1.000011 
-0.511875, 0.000015, 1.000008, 2.500010, 1.000009 
-0.510000, 0.000012, 1.000006, 2.500008, 1.000007 
-0.508125, 0.000010, 1.000005, 2.500006, 1.000006 
-0.506250, 0.000008, 1.000004, 2.500005, 1.000004 
-0.504375, 0.000006, 1.000003, 2.500004, 1.000004 
-0.502500, 0.000005, 1.000003, 2.500003, 1.000003 
-0.500625, 0.000003, 1.000002, 2.500002, 1.000002 
-0.498750, 0.000002, 1.000002, 2.500001, 1.000002 
-0.496875, 0.000001, 1.000001, 2.500001, 1.000001 
-0.495000, 0.000001, 1.000001, 2.500001, 1.000001 
-0.493125, 0.000000, 1.000001, 2.500000, 1.000001 
-0.491250, 0.000000, 1.000001, 2.500000, 1.000001 
-0.489375, -0.000000, 1.000001, 2.500000, 1.000001 
-0.487500, -0.000000, 1.000001, 2.500000, 1.000001 
-0.485625, -0.000000, 1.000001, 2.500000, 1.000001 
-0.483750, -0.000000, 1.000001, 2.500000, 1.000001 
-0.481875, -0.000000, 1.000001, 2.500000, 1.000001 
-0.480000, -0.000000, 1.000001, 2.500000, 1.000001 
-0.478125, -0.000000, 1.000001, 2.500000, 1.000001 
-0.476250, -0.000000, 1.000001, 2.500000, 1.000001 
-0.474375, -0.000000, 1.000001, 2.500000, 1.000001 
-0.472500, -0.000000, 1.000001, 2.500000, 1.000001 
-0.470625, -0.000000, 1.000001, 2.500000, 1.000001 
-0.468750, -0.000000, 1.000001, 2.500000, 1.000001 
-0.466875, -0.000000, 1.000001, 2.500000, 1.000001 
-0.465000, -0.000000, 1.000001, 2.500000, 1.000001 
-0.463125, 0.000000, 1.000001, 2.500000, 1.000001 
-0.461250, 0.000000, 1.000001, 2.500000, 1.000001 
-0.459375, 0.000000, 1.000001, 2.500000, 1.000001 
-0.457500, 0.000000, 1.000001, 2.500000, 1.000001 
-0.455625, 0.000000, 1.000001, 2.500000, 1.000001 
-0.453750, 0.000000, 1.000001, 2.500000, 1.000001 
-0.451875, 0.000000, 1.000001, 2.500000, 1.000001 
-0.450000, 0.000000, 1.000001, 2.500000, 1.000001 
-0.448125, 0.000000, 1.000001, 2.500000, 1.000001 
-0.446250, 0.000000, 1.000001, 2.500000, 1.000001 
-0.444375, 0.000000, 1.000001, 2.500000, 1.000001 
-0.442500, 0.000000, 1.000001, 2.500000, 1.000001 
-0.440625, 0.000000, 1.000001, 2.500000, 1.000001 
-0.438750, 0.000000, 1.000001, 2.500000, 1.000001 
-0.436875, -0.000000, 1.000001, 2.500000, 1.000001 
-0.435000, -0.000000, 1.000001, 2.500000, 1.000001 
-0.433125, -0.000000, 1.000001, 2.500000, 1.000001 
-0.431250, -0.000000, 1.000001, 2.500000, 1.000001 
-0.429375, -0.000000, 1.000001, 2.500000, 1.000001 
-0.427500, -0.000000, 1.000001, 2.500000, 1.000001 
-0.425625, -0.000000, 1.000001, 2.500000, 1.000001 
-0.423750, -0.000000, 1.000001, 2.500000, 1.000001 
-0.421875, -0.000000, 1.000001, 2.500000, 1.000001 
-0.420000, -0.000000, 1.000001, 2.500000, 1.000001 
-0.418125, -0.000000, 1.000001, 2.500000, 1.000001 
-0.416250, -0.000000, 1.000001, 2.500000, 1.000001 
-0.414375, -0.000000, 1.000001, 2.500000, 1.000001 
-0.412500, 0.000000, 1.000001, 2.500000, 1.000001 
-0.410625, 0.000000, 1.000001, 2.500000, 1.000001 
-0.408750, 0.000000, 1.000001, 2.500000, 1.000001 
-0.406875, 0.000000, 1.000001, 2.500000, 1.000001 
-0.405000, 0.000000, 1.000001, 2.500000, 1.000001 
-0.403125, 0.000000, 1.000001, 2.500000, 1.000001 
-0.401250, 0.000000, 1.000001, 2.500000, 1.000001 
-0.399375, 0.000000, 1.000001, 2.500000, 1.000001 
-0.397500, 0.000000, 1.000001, 2.500000, 1.000001 
-0.395625, 0.000000, 1.000001, 2.500000, 1.000001 
