position,velocity,density,energy,pressure
-0.605259, -0.033638, 0.586156, 2.498750, 0.585894 
-0.607836, -0.088490, 0.569191, 2.497315, 0.568600 
-0.609276, -0.144823, 0.550678, 2.494801, 0.549523 
-0.609588, -0.196735, 0.549681, 2.491105, 0.547691 
-0.608563, -0.238360, 0.569477, 2.486513, 0.566371 
-0.605779, -0.255386, 0.586368, 2.483329, 0.582500 
-0.600254, -0.217408, 0.530844, 2.487153, 0.528269 
-0.592220, -0.091017, 0.441856, 2.499450, 0.441773 
-0.585334, 0.000871, 0.562061, 2.505059, 0.563186 
-0.579957, 0.054836, 0.792458, 2.506985, 0.794659 
-0.575592, 0.096303, 0.980917, 2.507824, 0.983965 
-0.572188, 0.110358, 1.079794, 2.508122, 1.083316 
-0.570044, 0.088117, 1.104196, 2.509241, 1.108253 
-0.569510, 0.027726, 1.104276, 2.510154, 1.108697 
-0.569630, -0.033778, 1.103670, 2.508998, 1.107655 
-0.572313, -0.065582, 1.092013, 2.503900, 1.093747 
-0.573429, -0.062042, 1.072089, 2.500049, 1.072094 
-0.573367, -0.056444, 1.072824, 2.497350, 1.071659 
-0.571908, -0.044590, 1.095730, 2.496257, 1.094054 
-0.569351, -0.035262, 1.102311, 2.496562, 1.100769 
-0.566694, -0.040389, 1.068939, 2.496772, 1.067583 
-0.563583, -0.044959, 1.002672, 2.497726, 1.001814 
-0.559821, -0.027731, 0.929732, 2.499717, 0.929632 
-0.556302, -0.002556, 0.908071, 2.501433, 0.908570 
-0.552968, 0.020571, 0.942665, 2.502741, 0.943670 
-0.550139, 0.029958, 0.998857, 2.503588, 1.000254 
-0.547423, 0.032450, 1.055614, 2.504462, 1.057451 
-0.545039, 0.028293, 1.092451, 2.505120, 1.094638 
-0.543049, 0.026782, 1.104295, 2.505398, 1.106630 
-0.540997, 0.040980, 1.094536, 2.505508, 1.096909 
-0.542551, 0.020990, 1.103838, 2.501700, 1.104563 
-0.543207, -0.006190, 1.104299, 2.498563, 1.103662 
-0.543057, -0.024720, 1.104277, 2.496182, 1.102646 
-0.542510, -0.034713, 1.102791, 2.494398, 1.100368 
-0.541168, -0.044851, 1.091731, 2.493932, 1.089104 
-0.539290, -0.045828, 1.062466, 2.494194, 1.060011 
-0.535953, -0.034018, 0.989523, 2.495942, 0.987993 
-0.531834, -0.013948, 0.907348, 2.498668, 0.906907 
-0.527746, 0.016511, 0.887116, 2.501214, 0.887560 
-0.524520, 0.030329, 0.927975, 2.502545, 0.928902 
-0.521426, 0.045307, 0.994057, 2.503647, 0.995475 
-0.518766, 0.043124, 1.052274, 2.504468, 1.054015 
-0.516729, 0.034961, 1.085094, 2.504766, 1.087125 
-0.515090, 0.029142, 1.098006, 2.504677, 1.100080 
-0.513242, 0.038117, 1.095458, 2.504733, 1.097529 
-0.514568, 0.023867, 1.099083, 2.501239, 1.099614 
-0.515024, 0.009542, 1.098501, 2.498509, 1.097834 
-0.515209, -0.016231, 1.098347, 2.496116, 1.096638 
-0.514268, -0.020969, 1.098581, 2.495045, 1.096405 
-0.512071, -0.019363, 1.081576, 2.495802, 1.079766 
-0.509654, -0.008334, 1.042897, 2.496459, 1.041422 
-0.506951, -0.010059, 0.987722, 2.497301, 0.986658 
-0.503297, 0.004727, 0.928309, 2.499107, 0.927979 
-0.499760, 0.022550, 0.918631, 2.500573, 0.918843 
-0.496268, 0.032824, 0.964675, 2.501998, 0.965347 
-0.493562, 0.022525, 1.022635, 2.503041, 1.023855 
-0.491095, 0.027843, 1.072031, 2.503545, 1.073561 
-0.489034, 0.033547, 1.101544, 2.503654, 1.103162 
-0.486841, 0.040638, 1.113161, 2.503833, 1.114865 
-0.485129, 0.035496, 1.104764, 2.503959, 1.106502 
-0.486876, -0.003471, 1.113028, 2.500954, 1.113451 
-0.487674, -0.026338, 1.112595, 2.498001, 1.111719 
-0.487647, -0.038834, 1.112796, 2.495944, 1.111019 
-0.486512, -0.040994, 1.111529, 2.495302, 1.109471 
-0.484500, -0.046197, 1.092700, 2.495674, 1.090842 
-0.482614, -0.047090, 1.060268, 2.495697, 1.058467 
-0.479474, -0.029542, 0.993551, 2.497111, 0.992416 
-0.475808, -0.007852, 0.926279, 2.498925, 0.925884 
-0.471980, 0.007269, 0.908833, 2.500873, 0.909098 
-0.468895, 0.001850, 0.946971, 2.502205, 0.947788 
-0.465738, 0.015152, 1.011284, 2.503445, 1.012654 
-0.463248, 0.022201, 1.062078, 2.503947, 1.063735 
-0.460914, 0.030053, 1.095810, 2.504291, 1.097647 
-0.458963, 0.023813, 1.106382, 2.504600, 1.108376 
-0.457219, 0.009103, 1.097701, 2.504891, 1.099786 
-0.459154, -0.023481, 1.106380, 2.500835, 1.106777 
-0.459856, -0.038651, 1.105400, 2.497617, 1.104408 
-0.459688, -0.045508, 1.105952, 2.495536, 1.104058 
-0.458523, -0.049358, 1.104686, 2.494597, 1.102367 
-0.456915, -0.055070, 1.090896, 2.494317, 1.088470 
-0.454722, -0.048864, 1.055596, 2.494797, 1.053430 
-0.451406, -0.027465, 0.985817, 2.496736, 0.984538 
-0.447563, -0.000621, 0.916915, 2.499087, 0.916569 
-0.444168, 0.002314, 0.900792, 2.500901, 0.901072 
-0.440914, 0.006135, 0.938698, 2.502599, 0.939633 
-0.437886, 0.014727, 1.000685, 2.503902, 1.002207 
-0.435152, 0.025143, 1.056830, 2.504782, 1.058799 
-0.432963, 0.026190, 1.089843, 2.505107, 1.092006 
-0.430819, 0.021260, 1.102285, 2.505645, 1.104732 
-0.428969, 0.010281, 1.092749, 2.505745, 1.095250 
-0.430967, -0.015140, 1.102284, 2.501022, 1.102763 
-0.431621, -0.029138, 1.101416, 2.497453, 1.100349 
-0.431447, -0.038193, 1.101961, 2.495036, 1.099859 
-0.430624, -0.053037, 1.101442, 2.493181, 1.098550 
-0.428899, -0.057309, 1.088358, 2.493134, 1.085452 
-0.426632, -0.048059, 1.053085, 2.494052, 1.050620 
-0.423162, -0.020421, 0.981563, 2.496528, 0.980206 
-0.419340, 0.006003, 0.914499, 2.499163, 0.914174 
-0.416102, 0.015051, 0.899020, 2.500885, 0.899312 
-0.412833, 0.015062, 0.935987, 2.502821, 0.937009 
-0.409759, 0.021387, 0.999223, 2.504330, 1.000913 
-0.407067, 0.028810, 1.055534, 2.505246, 1.057700 
-0.404808, 0.029962, 1.090401, 2.505648, 1.092816 
-0.402592, 0.030327, 1.103301, 2.506151, 1.105973 
-0.400836, 0.023730, 1.094538, 2.506122, 1.097195 
-0.402714, -0.002256, 1.103295, 2.501196, 1.103816 
-0.403415, -0.022318, 1.102446, 2.497288, 1.101290 
-0.403264, -0.036851, 1.102994, 2.494579, 1.100670 
-0.402398, -0.049390, 1.102303, 2.492726, 1.099205 
-0.400710, -0.057254, 1.088790, 2.492684, 1.085718 
-0.398467, -0.048814, 1.052872, 2.493629, 1.050256 
-0.395159, -0.024990, 0.982246, 2.495990, 0.980686 
-0.391565, -0.000318, 0.913369, 2.498516, 0.912812 
-0.388129, 0.013113, 0.889037, 2.500677, 0.889252 
-0.384570, 0.031494, 0.925279, 2.502920, 0.926322 
-0.381499, 0.032658, 0.990313, 2.504538, 0.992062 
-0.378747, 0.037135, 1.050782, 2.505597, 1.053084 
-0.376441, 0.037894, 1.088680, 2.506062, 1.091272 
-0.374274, 0.043005, 1.103289, 2.506311, 1.106041 
