position,velocity,density,energy,pressure
-0.598125, 0.000000, 0.541667, 2.500000, 0.541667 
-0.596250, 0.000000, 0.623407, 2.500000, 0.623407 
-0.594375, 0.000000, 0.700518, 2.500000, 0.700518 
-0.592500, 0.000000, 0.770398, 2.500000, 0.770398 
-0.590625, 0.000000, 0.831111, 2.500000, 0.831111 
-0.588750, 0.000000, 0.881522, 2.500000, 0.881522 
-0.586875, 0.000000, 0.921339, 2.500000, 0.921339 
-0.585000, 0.000000, 0.951059, 2.500000, 0.951059 
-0.583125, 0.000000, 0.971830, 2.500000, 0.971830 
-0.581250, 0.000000, 0.985241, 2.500000, 0.985241 
-0.579375, 0.000000, 0.993077, 2.500000, 0.993077 
-0.577500, 0.000000, 0.997086, 2.500000, 0.997086 
-0.575625, 0.000000, 0.998781, 2.500000, 0.998781 
-0.573750, 0.000000, 0.999306, 2.500000, 0.999306 
-0.571875, 0.000000, 0.999392, 2.500000, 0.999392 
-0.570000, 0.000000, 0.999400, 2.500000, 0.999400 
-0.568125, 0.000000, 0.999431, 2.500000, 0.999431 
-0.566250, 0.000000, 0.999486, 2.500000, 0.999486 
-0.564375, 0.000000, 0.999555, 2.500000, 0.999555 
-0.562500, 0.000000, 0.999631, 2.500000, 0.999631 
-0.560504, 0.000548, 0.999710, 2.499696, 0.999588 
-0.558729, 0.000017, 0.999775, 2.499773, 0.999684 
-0.556888, -0.000137, 0.999835, 2.499836, 0.999770 
-0.555024, -0.000194, 0.999887, 2.499890, 0.999843 
-0.553146, -0.000173, 0.999929, 2.499933, 0.999902 
-0.551257, -0.000078, 0.999958, 2.499963, 0.999943 
-0.549360, 0.000072, 0.999974, 2.499980, 0.999967 
-0.547471, 0.000161, 0.999979, 2.499985, 0.999973 
-0.545593, 0.000181, 0.999975, 2.499980, 0.999967 
-0.543721, 0.000155, 0.999967, 2.499970, 0.999955 
-0.541852, 0.000098, 0.999960, 2.499962, 0.999945 
-0.539985, 0.000025, 0.999958, 2.499959, 0.999942 
-0.538119, -0.000057, 0.999964, 2.499965, 0.999951 
-0.536252, -0.000125, 0.999979, 2.499978, 0.999970 
-0.534382, -0.000163, 0.999997, 2.499995, 0.999995 
-0.532505, -0.000125, 1.000012, 2.500011, 1.000017 
-0.530617, 0.000037, 1.000019, 2.500018, 1.000026 
-0.528725, 0.000204, 1.000011, 2.500010, 1.000015 
-0.526845, 0.000232, 0.999994, 2.499992, 0.999991 
-0.524973, 0.000173, 0.999977, 2.499975, 0.999968 
-0.523106, 0.000081, 0.999968, 2.499966, 0.999955 
-0.521239, -0.000017, 0.999970, 2.499968, 0.999957 
-0.519370, -0.000094, 0.999981, 2.499980, 0.999974 
-0.517499, -0.000130, 0.999998, 2.499997, 0.999997 
-0.515624, -0.000105, 1.000013, 2.500012, 1.000018 
-0.513744, -0.000013, 1.000022, 2.500021, 1.000031 
-0.511862, 0.000096, 1.000023, 2.500022, 1.000031 
-0.509981, 0.000151, 1.000016, 2.500015, 1.000022 
-0.508104, 0.000152, 1.000005, 2.500004, 1.000006 
-0.506231, 0.000117, 0.999995, 2.499993, 0.999992 
-0.504359, 0.000061, 0.999989, 2.499987, 0.999984 
-0.502488, -0.000001, 0.999991, 2.499989, 0.999987 
-0.500617, -0.000053, 0.999999, 2.499997, 0.999998 
-0.498744, -0.000076, 1.000010, 2.500009, 1.000014 
-0.496869, -0.000056, 1.000021, 2.500019, 1.000028 
-0.494991, 0.000013, 1.000026, 2.500025, 1.000036 
-0.493112, 0.000086, 1.000026, 2.500025, 1.000036 
-0.491234, 0.000116, 1.000022, 2.500020, 1.000030 
-0.489358, 0.000111, 1.000016, 2.500014, 1.000022 
-0.487484, 0.000084, 1.000011, 2.500009, 1.000015 
-0.485611, 0.000049, 1.000010, 2.500007, 1.000014 
-0.483738, 0.000013, 1.000013, 2.500011, 1.000019 
-0.481865, -0.000014, 1.000020, 2.500018, 1.000028 
-0.479991, -0.000023, 1.000028, 2.500026, 1.000040 
-0.478116, -0.000009, 1.000035, 2.500033, 1.000049 
-0.476240, 0.000029, 1.000039, 2.500038, 1.000055 
-0.474363, 0.000070, 1.000040, 2.500038, 1.000056 
-0.472487, 0.000091, 1.000038, 2.500036, 1.000053 
-0.470611, 0.000092, 1.000034, 2.500032, 1.000048 
-0.468736, 0.000079, 1.000031, 2.500029, 1.000043 
-0.466862, 0.000061, 1.000029, 2.500028, 1.000041 
-0.464988, 0.000044, 1.000029, 2.500029, 1.000041 
-0.463114, 0.000031, 1.000032, 2.500032, 1.000044 
-0.461240, 0.000025, 1.000035, 2.500035, 1.000048 
-0.459365, 0.000028, 1.000037, 2.500038, 1.000052 
-0.457490, 0.000038, 1.000039, 2.500040, 1.000053 
-0.455614, 0.000053, 1.000038, 2.500039, 1.000053 
-0.453738, 0.000063, 1.000037, 2.500037, 1.000051 
-0.451863, 0.000063, 1.000034, 2.500034, 1.000047 
-0.449988, 0.000055, 1.000032, 2.500032, 1.000044 
-0.448114, 0.000045, 1.000031, 2.500030, 1.000042 
-0.446239, 0.000035, 1.000031, 2.500029, 1.000042 
-0.444365, 0.000027, 1.000031, 2.500029, 1.000043 
-0.442490, 0.000021, 1.000033, 2.500029, 1.000045 
-0.440615, 0.000021, 1.000035, 2.500030, 1.000047 
-0.438740, 0.000027, 1.000037, 2.500032, 1.000049 
-0.436865, 0.000046, 1.000038, 2.500033, 1.000052 
-0.434989, 0.000066, 1.000040, 2.500034, 1.000055 
-0.433114, 0.000071, 1.000043, 2.500036, 1.000058 
-0.431239, 0.000066, 1.000046, 2.500039, 1.000063 
-0.429364, 0.000058, 1.000050, 2.500043, 1.000069 
-0.427490, 0.000051, 1.000056, 2.500048, 1.000077 
-0.425615, 0.000046, 1.000062, 2.500054, 1.000086 
-0.423740, 0.000046, 1.000068, 2.500060, 1.000095 
-0.421865, 0.000052, 1.000074, 2.500066, 1.000104 
-0.419990, 0.000067, 1.000080, 2.500072, 1.000112 
-0.418115, 0.000087, 1.000085, 2.500077, 1.000120 
-0.416240, 0.000104, 1.000089, 2.500082, 1.000126 
-0.414365, 0.000117, 1.000093, 2.500086, 1.000131 
-0.412490, 0.000123, 1.000097, 2.500090, 1.000136 
-0.410616, 0.000125, 1.000100, 2.500094, 1.000141 
-0.408741, 0.000125, 1.000103, 2.500098, 1.000146 
-0.406866, 0.000124, 1.000107, 2.500102, 1.000150 
-0.404991, 0.000125, 1.000110, 2.500106, 1.000155 
-0.403117, 0.000128, 1.000113, 2.500110, 1.000159 
-0.401242, 0.000131, 1.000115, 2.500113, 1.000162 
-0.399367, 0.000135, 1.000117, 2.500115, 1.000165 
-0.397492, 0.000139, 1.000118, 2.500117, 1.000166 
-0.395617, 0.000141, 1.000119, 2.500118, 1.000167 
