position,velocity,density,energy,pressure
-0.598125, 0.000000, 0.541667, 2.500000, 0.541667 
-0.596250, 0.000000, 0.623407, 2.500000, 0.623407 
-0.594375, 0.000000, 0.700518, 2.500000, 0.700518 
-0.592500, 0.000000, 0.770398, 2.500000, 0.770398 
-0.590625, 0.000000, 0.831111, 2.500000, 0.831111 
-0.588750, 0.000000, 0.881523, 2.500000, 0.881523 
-0.586875, 0.000000, 0.921345, 2.500000, 0.921345 
-0.585000, 0.000000, 0.951079, 2.500000, 0.951079 
-0.583125, 0.000000, 0.971875, 2.500000, 0.971875 
-0.581250, 0.000000, 0.985317, 2.500000, 0.985317 
-0.579375, 0.000000, 0.993187, 2.500000, 0.993187 
-0.577500, 0.000000, 0.997227, 2.500000, 0.997227 
-0.575625, 0.000000, 0.998941, 2.500000, 0.998941 
-0.573750, 0.000000, 0.999471, 2.500000, 0.999471 
-0.571875, 0.000000, 0.999548, 2.500000, 0.999548 
-0.570000, 0.000000, 0.999535, 2.500000, 0.999535 
-0.568125, 0.000000, 0.999539, 2.500000, 0.999539 
-0.566250, 0.000000, 0.999566, 2.500000, 0.999566 
-0.564375, 0.000000, 0.999610, 2.500000, 0.999610 
-0.562500, 0.000000, 0.999668, 2.500000, 0.999668 
-0.560556, 0.000641, 0.999735, 2.499725, 0.999625 
-0.558731, 0.000060, 0.999798, 2.499796, 0.999717 
-0.556875, -0.000134, 0.999858, 2.499859, 0.999801 
-0.555007, -0.000185, 0.999909, 2.499912, 0.999874 
-0.553131, -0.000157, 0.999949, 2.499954, 0.999932 
-0.551252, -0.000064, 0.999978, 2.499983, 0.999972 
-0.549368, 0.000077, 0.999994, 2.500000, 0.999994 
-0.547486, 0.000160, 1.000000, 2.500006, 1.000003 
-0.545608, 0.000170, 0.999999, 2.500004, 1.000002 
-0.543734, 0.000149, 0.999995, 2.499998, 0.999995 
-0.541861, 0.000109, 0.999991, 2.499993, 0.999989 
-0.539988, 0.000060, 0.999990, 2.499990, 0.999986 
-0.538116, 0.000010, 0.999994, 2.499992, 0.999991 
-0.536244, -0.000038, 1.000002, 2.499999, 1.000002 
-0.534371, -0.000071, 1.000014, 2.500009, 1.000017 
-0.532497, -0.000072, 1.000025, 2.500020, 1.000033 
-0.530619, -0.000002, 1.000033, 2.500027, 1.000044 
-0.528740, 0.000134, 1.000035, 2.500028, 1.000046 
-0.526862, 0.000176, 1.000032, 2.500024, 1.000042 
-0.524987, 0.000154, 1.000029, 2.500020, 1.000038 
-0.523113, 0.000108, 1.000029, 2.500020, 1.000039 
-0.521240, 0.000059, 1.000036, 2.500026, 1.000048 
-0.519366, 0.000017, 1.000047, 2.500038, 1.000066 
-0.517492, -0.000008, 1.000063, 2.500053, 1.000088 
-0.515618, -0.000009, 1.000079, 2.500068, 1.000110 
-0.513743, 0.000016, 1.000093, 2.500082, 1.000130 
-0.511867, 0.000067, 1.000103, 2.500092, 1.000145 
-0.509992, 0.000135, 1.000109, 2.500098, 1.000154 
-0.508116, 0.000182, 1.000112, 2.500101, 1.000159 
-0.506241, 0.000193, 1.000114, 2.500103, 1.000161 
-0.504366, 0.000186, 1.000115, 2.500105, 1.000162 
-0.502492, 0.000172, 1.000117, 2.500109, 1.000166 
-0.500617, 0.000159, 1.000121, 2.500115, 1.000171 
-0.498743, 0.000149, 1.000127, 2.500122, 1.000179 
-0.496868, 0.000146, 1.000132, 2.500129, 1.000187 
-0.494993, 0.000150, 1.000137, 2.500136, 1.000193 
-0.493119, 0.000159, 1.000141, 2.500141, 1.000198 
-0.491244, 0.000168, 1.000142, 2.500143, 1.000200 
-0.489369, 0.000175, 1.000142, 2.500143, 1.000199 
-0.487494, 0.000178, 1.000140, 2.500142, 1.000196 
-0.485619, 0.000177, 1.000137, 2.500139, 1.000192 
-0.483745, 0.000174, 1.000133, 2.500136, 1.000187 
-0.481870, 0.000169, 1.000129, 2.500133, 1.000182 
-0.479995, 0.000164, 1.000126, 2.500130, 1.000177 
-0.478121, 0.000160, 1.000122, 2.500127, 1.000172 
-0.476246, 0.000155, 1.000119, 2.500124, 1.000167 
-0.474371, 0.000152, 1.000115, 2.500121, 1.000162 
-0.472496, 0.000148, 1.000111, 2.500117, 1.000156 
-0.470622, 0.000144, 1.000107, 2.500113, 1.000150 
-0.468747, 0.000140, 1.000103, 2.500109, 1.000144 
-0.466872, 0.000135, 1.000098, 2.500105, 1.000137 
-0.464997, 0.000130, 1.000094, 2.500100, 1.000131 
-0.463122, 0.000124, 1.000089, 2.500095, 1.000124 
-0.461248, 0.000118, 1.000084, 2.500091, 1.000118 
-0.459373, 0.000113, 1.000080, 2.500086, 1.000111 
-0.457498, 0.000107, 1.000075, 2.500081, 1.000105 
-0.455623, 0.000101, 1.000071, 2.500077, 1.000098 
-0.453748, 0.000096, 1.000066, 2.500072, 1.000092 
-0.451873, 0.000090, 1.000062, 2.500068, 1.000086 
-0.449999, 0.000085, 1.000058, 2.500064, 1.000080 
-0.448124, 0.000080, 1.000054, 2.500060, 1.000075 
-0.446249, 0.000075, 1.000050, 2.500055, 1.000069 
-0.444374, 0.000070, 1.000046, 2.500051, 1.000064 
-0.442499, 0.000065, 1.000043, 2.500048, 1.000059 
-0.440624, 0.000060, 1.000040, 2.500044, 1.000055 
-0.438749, 0.000055, 1.000036, 2.500041, 1.000050 
-0.436874, 0.000051, 1.000033, 2.500037, 1.000046 
-0.434999, 0.000047, 1.000030, 2.500034, 1.000042 
-0.433124, 0.000043, 1.000028, 2.500031, 1.000038 
-0.431249, 0.000039, 1.000025, 2.500028, 1.000035 
-0.429375, 0.000036, 1.000023, 2.500026, 1.000031 
-0.427500, 0.000033, 1.000021, 2.500023, 1.000028 
-0.425625, 0.000030, 1.000019, 2.500021, 1.000026 
-0.423750, 0.000027, 1.000017, 2.500019, 1.000023 
-0.421875, 0.000024, 1.000015, 2.500017, 1.000021 
-0.420000, 0.000022, 1.000014, 2.500015, 1.000019 
-0.418125, 0.000019, 1.000012, 2.500014, 1.000017 
-0.416250, 0.000017, 1.000011, 2.500012, 1.000015 
-0.414375, 0.000015, 1.000010, 2.500011, 1.000013 
-0.412500, 0.000014, 1.000009, 2.500010, 1.000012 
-0.410625, 0.000012, 1.000008, 2.500009, 1.000010 
-0.408750, 0.000011, 1.000007, 2.500008, 1.000009 
-0.406875, 0.000009, 1.000006, 2.500007, 1.000008 
-0.405000, 0.000008, 1.000006, 2.500006, 1.000007 
-0.403125, 0.000007, 1.000005, 2.500005, 1.000006 
-0.401250, 0.000006, 1.000004, 2.500004, 1.000006 
-0.399375, 0.000006, 1.000004, 2.500004, 1.000005 
-0.397500, 0.000005, 1.000003, 2.500003, 1.000004 
-0.395625, 0.000004, 1.000003, 2.500003, 1.000004 
