position,velocity,density,energy,pressure
-0.601654, 0.175703, 0.291416, 2.477388, 0.289069 
-0.609027, 0.058038, 0.380776, 2.483390, 0.378378 
-0.616391, -0.061100, 0.443086, 2.490567, 0.441410 
-0.622758, -0.173882, 0.437926, 2.494015, 0.436824 
-0.627134, -0.262851, 0.388725, 2.494514, 0.387802 
-0.628601, -0.332883, 0.367976, 2.493093, 0.366878 
-0.623922, -0.382143, 0.436988, 2.490492, 0.435217 
-0.607131, -0.311344, 0.332318, 2.497249, 0.331925 
-0.587289, -0.049541, 0.435934, 2.507637, 0.437213 
-0.573296, 0.098363, 0.998927, 2.507287, 1.001849 
-0.564147, 0.172661, 1.004090, 2.504154, 1.005713 
-0.558862, 0.207019, 0.975390, 2.500199, 0.975417 
-0.560275, 0.170685, 0.975986, 2.502513, 0.976932 
-0.570471, 0.010994, 1.033452, 2.511484, 1.038201 
-0.576480, -0.081213, 0.939584, 2.510789, 0.943571 
-0.577455, -0.039430, 0.897490, 2.506858, 0.899895 
-0.577210, -0.031024, 0.905204, 2.503104, 0.906278 
-0.576838, -0.046637, 0.921588, 2.500576, 0.921734 
-0.574805, -0.038761, 0.981025, 2.498674, 0.980506 
-0.574311, -0.074719, 0.995973, 2.498547, 0.995346 
-0.573052, -0.107425, 1.018920, 2.497282, 1.017825 
-0.568644, -0.067984, 1.030348, 2.498766, 1.029840 
-0.562363, -0.021955, 0.981014, 2.500617, 0.981293 
-0.557662, -0.023351, 0.990553, 2.502553, 0.991609 
-0.554797, -0.046525, 1.035587, 2.504542, 1.037475 
-0.550942, -0.032270, 1.105724, 2.505005, 1.107965 
-0.546345, -0.019619, 1.145746, 2.505735, 1.148379 
-0.544831, -0.022449, 1.134906, 2.506606, 1.137908 
-0.544378, -0.037652, 1.127457, 2.506555, 1.130396 
-0.541642, -0.030759, 1.060963, 2.506984, 1.063922 
-0.542412, -0.037684, 1.083403, 2.503004, 1.084698 
-0.545062, -0.067772, 1.134964, 2.498478, 1.134296 
-0.546982, -0.076631, 1.146110, 2.494689, 1.143647 
-0.546562, -0.087588, 1.145438, 2.492322, 1.141928 
-0.544574, -0.074268, 1.127671, 2.492251, 1.124185 
-0.542495, -0.072221, 1.080821, 2.492236, 1.077525 
-0.539885, -0.078615, 0.987882, 2.492405, 0.984892 
-0.533541, -0.038742, 0.749003, 2.496806, 0.748070 
-0.524748, 0.048342, 0.779098, 2.503674, 0.780218 
-0.519516, 0.089911, 1.000897, 2.505691, 1.003142 
-0.516347, 0.086517, 1.126686, 2.506925, 1.129770 
-0.514776, 0.065078, 1.170579, 2.507297, 1.173980 
-0.513116, 0.058828, 1.193066, 2.507179, 1.196483 
-0.512463, 0.031145, 1.195761, 2.506983, 1.198866 
-0.510605, 0.025197, 1.184352, 2.506783, 1.187521 
-0.513235, -0.002417, 1.194143, 2.503405, 1.195819 
-0.514305, -0.000613, 1.184070, 2.500141, 1.184146 
-0.515175, -0.002034, 1.169296, 2.496936, 1.167798 
-0.514658, -0.013526, 1.179788, 2.495574, 1.177627 
-0.514042, -0.047949, 1.189901, 2.494769, 1.187459 
-0.512260, -0.077045, 1.194051, 2.494601, 1.191581 
-0.509988, -0.086945, 1.167239, 2.494616, 1.164869 
-0.505114, -0.071020, 1.069865, 2.497687, 1.068986 
-0.499857, -0.044685, 1.025863, 2.501276, 1.026452 
-0.495354, -0.025349, 1.076654, 2.503982, 1.078405 
-0.493485, -0.024749, 1.107341, 2.504056, 1.109150 
-0.490728, -0.014200, 1.138336, 2.505012, 1.140605 
-0.489008, -0.007610, 1.141096, 2.504986, 1.143355 
-0.485772, 0.009491, 1.104165, 2.506816, 1.107030 
-0.484622, 0.006985, 1.078583, 2.506298, 1.081185 
-0.488537, -0.036193, 1.138120, 2.499783, 1.138100 
-0.490107, -0.035434, 1.141448, 2.495490, 1.139432 
-0.490229, -0.024099, 1.140945, 2.493262, 1.137816 
-0.489964, -0.023418, 1.141622, 2.491206, 1.137544 
-0.487963, -0.002566, 1.134968, 2.491640, 1.131152 
-0.485870, 0.009874, 1.106096, 2.492040, 1.102559 
-0.481640, 0.015842, 0.997497, 2.495198, 0.995574 
-0.476233, 0.029733, 0.871368, 2.499193, 0.871073 
-0.471099, 0.029699, 0.895766, 2.502951, 0.896813 
-0.468618, 0.001343, 0.958513, 2.503624, 0.959913 
-0.464876, -0.005641, 1.056870, 2.505647, 1.059302 
-0.462275, -0.023194, 1.100596, 2.506398, 1.103470 
-0.460873, -0.043485, 1.106426, 2.505803, 1.109026 
-0.459489, -0.042619, 1.097695, 2.505573, 1.100162 
-0.459043, -0.038465, 1.092356, 2.503942, 1.094085 
-0.460504, 0.004456, 1.106190, 2.499582, 1.106016 
-0.461093, 0.015997, 1.106174, 2.496156, 1.104484 
-0.460819, 0.013970, 1.106549, 2.494242, 1.104012 
-0.460182, 0.005438, 1.105092, 2.492493, 1.101788 
-0.459324, -0.008694, 1.097750, 2.491485, 1.094023 
-0.456569, 0.009472, 1.047539, 2.492832, 1.044539 
-0.451547, 0.036967, 0.907875, 2.495958, 0.906395 
-0.445459, 0.080293, 0.834250, 2.499398, 0.833994 
-0.441137, 0.124904, 0.920497, 2.499369, 0.920353 
-0.437382, 0.124051, 1.048193, 2.501087, 1.048792 
-0.433627, 0.119827, 1.149017, 2.502825, 1.150474 
-0.430724, 0.112948, 1.165722, 2.504340, 1.167950 
-0.429867, 0.072921, 1.154399, 2.506580, 1.157574 
-0.430287, 0.003299, 1.155457, 2.508325, 1.159294 
-0.430883, -0.056608, 1.159368, 2.507455, 1.162693 
-0.433124, -0.058991, 1.165637, 2.501431, 1.166230 
-0.433735, -0.051223, 1.159738, 2.497455, 1.158477 
-0.433277, -0.050303, 1.164211, 2.494922, 1.161788 
-0.432971, -0.051609, 1.166326, 2.492504, 1.162785 
-0.432033, -0.059639, 1.167740, 2.491834, 1.163924 
-0.430125, -0.067399, 1.147007, 2.493003, 1.143817 
-0.425067, -0.044782, 0.992822, 2.496579, 0.991456 
-0.419419, -0.018005, 0.804993, 2.500346, 0.805077 
-0.415244, -0.003235, 0.774593, 2.502469, 0.775322 
-0.411558, 0.010293, 0.851783, 2.504253, 0.853197 
-0.407442, 0.031892, 0.995777, 2.505848, 0.998075 
-0.403794, 0.045804, 1.112733, 2.507117, 1.115845 
-0.400537, 0.063741, 1.163815, 2.507040, 1.167009 
-0.397540, 0.088668, 1.154946, 2.506227, 1.157708 
-0.395289, 0.121206, 1.122752, 2.503571, 1.124237 
-0.398043, 0.121172, 1.161194, 2.498319, 1.160329 
-0.400274, 0.102352, 1.164198, 2.494394, 1.161554 
-0.401781, 0.073944, 1.150821, 2.492746, 1.147502 
-0.402369, 0.057877, 1.142652, 2.491280, 1.138793 
-0.402459, 0.013575, 1.144931, 2.492714, 1.141616 
-0.401766, -0.026056, 1.157352, 2.494502, 1.154797 
-0.398203, -0.031351, 1.155625, 2.497060, 1.154290 
-0.394057, -0.037280, 1.080506, 2.499776, 1.080430 
-0.390200, -0.046237, 1.004339, 2.502128, 1.005207 
-0.385478, -0.044010, 0.979976, 2.504293, 0.981690 
-0.382039, -0.044392, 1.009821, 2.505446, 1.012029 
-0.378620, -0.034936, 1.043689, 2.506586, 1.046454 
-0.376079, -0.042523, 1.047889, 2.506976, 1.050791 
-0.373042, -0.043510, 1.013856, 2.507053, 1.016737 
-0.370312, -0.021839, 0.956460, 2.507324, 0.959323 
-0.374388, -0.059580, 1.033073, 2.501416, 1.033751 
-0.376215, -0.059230, 1.048097, 2.497407, 1.047071 
-0.377267, -0.066315, 1.049615, 2.494284, 1.047249 
-0.376998, -0.072566, 1.049669, 2.492514, 1.046561 
-0.376113, -0.072102, 1.047385, 2.492302, 1.044196 
-0.372328, -0.033774, 1.001198, 2.492816, 0.998366 
-0.366742, 0.012688, 0.873197, 2.495568, 0.871645 
-0.360140, 0.064377, 0.841006, 2.499128, 0.840627 
-0.353979, 0.112989, 1.032743, 2.500749, 1.032837 
-0.348716, 0.154075, 1.207575, 2.500466, 1.207508 
-0.345627, 0.149329, 1.233089, 2.501504, 1.233605 
-0.343640, 0.141716, 1.203685, 2.502081, 1.204503 
-0.342529, 0.119526, 1.169310, 2.503413, 1.170858 
-0.343277, 0.088076, 1.187358, 2.505479, 1.190169 
-0.343974, 0.032273, 1.198527, 2.507682, 1.202291 
-0.347944, -0.016817, 1.231424, 2.502941, 1.232910 
-0.349589, -0.034992, 1.209096, 2.498839, 1.208574 
-0.350440, -0.051232, 1.190867, 2.495808, 1.188913 
-0.349795, -0.061943, 1.207589, 2.494310, 1.204885 
-0.349425, -0.081004, 1.216643, 2.493670, 1.213616 
-0.348105, -0.095227, 1.232980, 2.493495, 1.229811 
-0.344962, -0.094072, 1.206917, 2.495167, 1.204586 
-0.339785, -0.089160, 1.009082, 2.497701, 1.008143 
-0.333893, -0.081566, 0.762375, 2.500113, 0.762487 
-0.327673, -0.046795, 0.754860, 2.503245, 0.755931 
-0.322861, -0.015505, 0.920516, 2.505372, 0.922563 
-0.318950, 0.007559, 1.068225, 2.507186, 1.071298 
-0.315257, 0.034851, 1.148989, 2.508295, 1.152755 
-0.311860, 0.063528, 1.148442, 2.508449, 1.152221 
-0.309788, 0.082589, 1.120164, 2.507307, 1.123336 
-0.312062, 0.084371, 1.151241, 2.502573, 1.152312 
-0.314111, 0.062835, 1.156209, 2.498944, 1.155603 
-0.315798, 0.043976, 1.141454, 2.496472, 1.139758 
-0.316503, 0.032598, 1.130252, 2.494891, 1.127896 
-0.316158, 0.010472, 1.138440, 2.494967, 1.136134 
-0.316395, -0.027106, 1.137625, 2.494822, 1.135304 
-0.315056, -0.044006, 1.154119, 2.495076, 1.151902 
-0.311217, -0.039085, 1.133793, 2.496672, 1.132327 
-0.305371, -0.004548, 1.026295, 2.499797, 1.026221 
-0.300023, 0.009912, 0.993791, 2.502142, 0.994659 
-0.295435, 0.011201, 1.043755, 2.504035, 1.045460 
-0.292180, 0.013343, 1.077866, 2.505224, 1.080161 
-0.289825, 0.015598, 1.078286, 2.505713, 1.080800 
-0.287725, 0.013280, 1.056790, 2.506143, 1.059441 
-0.286052, 0.011021, 1.026830, 2.506461, 1.029524 
-0.289429, -0.026331, 1.074190, 2.501849, 1.075008 
-0.291556, -0.046508, 1.081059, 2.497743, 1.080167 
-0.293162, -0.048340, 1.073268, 2.494560, 1.071008 
-0.292439, -0.042706, 1.077980, 2.493516, 1.075237 
-0.290424, -0.031459, 1.079908, 2.493804, 1.077257 
-0.287115, -0.001594, 1.045803, 2.494231, 1.043387 
-0.282675, 0.027176, 0.951245, 2.495490, 0.949516 
-0.277702, 0.048318, 0.874859, 2.497310, 0.873902 
-0.272685, 0.062394, 0.936181, 2.499479, 0.935970 
-0.267451, 0.074425, 1.097069, 2.501554, 1.097730 
-0.264458, 0.059945, 1.168100, 2.503681, 1.169789 
-0.262455, 0.030845, 1.180720, 2.505267, 1.183188 
-0.262159, -0.013325, 1.178122, 2.505888, 1.180888 
-0.260685, -0.035424, 1.156713, 2.506084, 1.159524 
-0.259402, -0.045846, 1.124710, 2.505973, 1.127395 
-0.261766, -0.043404, 1.173006, 2.501990, 1.173925 
-0.263379, -0.042426, 1.181028, 2.498366, 1.180242 
-0.264598, -0.041764, 1.172850, 2.495518, 1.170733 
-0.264816, -0.046984, 1.170505, 2.493589, 1.167498 
-0.263969, -0.053873, 1.178935, 2.492996, 1.175634 
-0.262096, -0.061126, 1.175573, 2.493384, 1.172490 
-0.258119, -0.052474, 1.083356, 2.495009, 1.081254 
-0.252166, -0.017112, 0.871934, 2.498187, 0.871315 
-0.246205, 0.026650, 0.820520, 2.501028, 0.820825 
-0.240506, 0.056842, 1.006721, 2.503262, 1.007988 
-0.235998, 0.065880, 1.178355, 2.505091, 1.180715 
-0.232842, 0.052315, 1.228887, 2.506772, 1.232191 
-0.231652, 0.012953, 1.220591, 2.507444, 1.224220 
-0.231326, -0.027871, 1.212583, 2.506823, 1.215894 
-0.231080, -0.061179, 1.204626, 2.505122, 1.207106 
-0.232173, -0.035442, 1.223753, 2.502952, 1.225202 
-0.233229, -0.017262, 1.228851, 2.500014, 1.228852 
-0.234295, -0.009403, 1.221661, 2.497083, 1.220222 
-0.234723, -0.010220, 1.215825, 2.494690, 1.213230 
-0.234894, -0.021923, 1.213991, 2.492819, 1.210509 
-0.234389, -0.037571, 1.222206, 2.491518, 1.218080 
-0.232397, -0.049944, 1.225155, 2.491767, 1.221147 
-0.229176, -0.067568, 1.149478, 2.492812, 1.146209 
-0.223870, -0.060499, 0.924929, 2.495722, 0.923364 
-0.217920, -0.036209, 0.772874, 2.500043, 0.772895 
-0.211852, -0.001965, 0.897804, 2.504619, 0.899456 
-0.206359, 0.041704, 1.102445, 2.507790, 1.105826 
-0.202177, 0.052503, 1.176156, 2.509217, 1.180427 
-0.199886, 0.038246, 1.157476, 2.509516, 1.161830 
-0.198921, 0.023580, 1.136215, 2.508232, 1.139939 
-0.199183, 0.000180, 1.139592, 2.506701, 1.142656 
-0.201750, -0.013843, 1.174989, 2.503303, 1.176552 
-0.203878, -0.013976, 1.166342, 2.499463, 1.166098 
-0.205043, -0.009563, 1.145570, 2.496087, 1.143779 
-0.205592, -0.007747, 1.132143, 2.493264, 1.129092 
-0.205324, -0.009539, 1.139086, 2.491237, 1.135097 
-0.203720, -0.016514, 1.168397, 2.491087, 1.164257 
-0.201349, -0.026947, 1.171957, 2.492023, 1.168260 
-0.196926, -0.015134, 1.072085, 2.494567, 1.069777 
-0.192128, -0.012435, 0.906545, 2.497491, 0.905647 
-0.187059, -0.007845, 0.835684, 2.500909, 0.835991 
-0.181989, 0.005056, 0.939871, 2.504248, 0.941463 
-0.177226, 0.019989, 1.095516, 2.506898, 1.098520 
-0.173392, 0.019035, 1.158486, 2.508613, 1.162458 
-0.170881, 0.021975, 1.140621, 2.508459, 1.144469 
-0.169051, 0.035796, 1.101405, 2.507793, 1.104805 
-0.168641, 0.038543, 1.090126, 2.506293, 1.092844 
-0.170891, 0.044230, 1.142572, 2.502835, 1.143847 
-0.173121, 0.037162, 1.158808, 2.499057, 1.158351 
-0.174646, 0.024629, 1.148895, 2.495579, 1.146848 
-0.175766, 0.006825, 1.132312, 2.492372, 1.128852 
-0.175923, -0.019009, 1.131770, 2.490112, 1.127310 
-0.174762, -0.046397, 1.151641, 2.489288, 1.146742 
-0.171972, -0.055772, 1.150419, 2.490264, 1.145989 
-0.167225, -0.049351, 1.028831, 2.493657, 1.026307 
-0.160751, -0.012205, 0.829332, 2.498900, 0.829011 
-0.153949, 0.041999, 0.880643, 2.503642, 0.881895 
-0.148435, 0.072491, 1.076954, 2.505935, 1.079450 
-0.144488, 0.084767, 1.171865, 2.506941, 1.175058 
-0.141981, 0.080453, 1.172905, 2.506977, 1.176141 
-0.140340, 0.067594, 1.145193, 2.507018, 1.148385 
-0.140085, 0.036482, 1.135457, 2.506601, 1.138444 
-0.140740, 0.000501, 1.146606, 2.505585, 1.149168 
-0.142971, -0.014770, 1.176913, 2.502197, 1.177956 
-0.144562, -0.019595, 1.175883, 2.498725, 1.175294 
-0.145886, -0.020090, 1.159362, 2.495162, 1.157129 
-0.146583, -0.029335, 1.146297, 2.492224, 1.142769 
-0.146487, -0.043888, 1.149980, 2.490415, 1.145644 
-0.144856, -0.044968, 1.174577, 2.490573, 1.170209 
-0.141149, -0.040472, 1.150942, 2.492950, 1.147739 
-0.134843, -0.002577, 0.953274, 2.497124, 0.952172 
-0.127757, 0.040458, 0.848660, 2.501210, 0.849051 
-0.122737, 0.054990, 0.977875, 2.503607, 0.979263 
-0.119627, 0.054419, 1.090552, 2.504826, 1.092633 
-0.116299, 0.058686, 1.176584, 2.505918, 1.179339 
-0.113917, 0.041823, 1.191092, 2.506661, 1.194252 
-0.112629, 0.016052, 1.177187, 2.506630, 1.180305 
-0.111437, -0.007627, 1.151292, 2.506516, 1.154292 
-0.111505, -0.049609, 1.147827, 2.505172, 1.150260 
-0.113489, -0.060215, 1.183609, 2.501680, 1.184498 
-0.115091, -0.043064, 1.191944, 2.498285, 1.191174 
-0.116461, -0.029375, 1.180679, 2.494863, 1.178264 
-0.117148, -0.024581, 1.169073, 2.492116, 1.165378 
-0.116907, -0.035022, 1.174321, 2.490760, 1.169979 
-0.114768, -0.046235, 1.192134, 2.491590, 1.188129 
-0.110057, -0.027514, 1.109690, 2.494326, 1.107165 
-0.103531, 0.007920, 0.894331, 2.498306, 0.893707 
-0.097977, 0.024816, 0.856570, 2.501671, 0.857111 
-0.094433, 0.025739, 0.945912, 2.503422, 0.947167 
-0.090711, 0.035641, 1.076662, 2.504949, 1.078755 
-0.087206, 0.039615, 1.172265, 2.506395, 1.175233 
-0.085098, 0.030089, 1.193207, 2.506796, 1.196429 
-0.083141, 0.012900, 1.179143, 2.506991, 1.182429 
-0.082117, -0.034054, 1.155215, 2.506706, 1.158312 
-0.081905, -0.065535, 1.146267, 2.504801, 1.148571 
-0.083825, -0.053053, 1.183883, 2.501566, 1.184699 
-0.086000, -0.041466, 1.191385, 2.497524, 1.190230 
-0.086872, -0.022050, 1.182290, 2.494295, 1.179584 
-0.087472, -0.024882, 1.173275, 2.491474, 1.169266 
-0.086894, -0.038370, 1.183066, 2.490070, 1.178369 
-0.084620, -0.048288, 1.191191, 2.490735, 1.186800 
-0.079928, -0.043542, 1.090744, 2.493996, 1.088149 
-0.074476, -0.030628, 0.905432, 2.497845, 0.904660 
-0.069884, -0.016070, 0.839569, 2.500957, 0.839885 
-0.065311, 0.011111, 0.918692, 2.503962, 0.920115 
-0.061620, 0.022985, 1.041737, 2.505720, 1.044076 
-0.058721, 0.032753, 1.129122, 2.506608, 1.132058 
-0.055373, 0.040463, 1.177560, 2.507867, 1.181235 
-0.053258, 0.000779, 1.161462, 2.507886, 1.165075 
-0.052464, -0.041936, 1.141582, 2.506257, 1.144502 
-0.052736, -0.065988, 1.145035, 2.503525, 1.146785 
-0.055211, -0.049229, 1.177454, 2.499598, 1.177322 
-0.056049, -0.019085, 1.176121, 2.497108, 1.174755 
-0.056792, -0.011397, 1.169546, 2.493798, 1.166622 
-0.057065, -0.014361, 1.166329, 2.490931, 1.162074 
-0.056603, -0.031419, 1.172535, 2.488684, 1.167240 
-0.054021, -0.055865, 1.168264, 2.488863, 1.163156 
-0.049403, -0.050880, 1.043539, 2.491964, 1.040276 
-0.044924, -0.025630, 0.870843, 2.494896, 0.869102 
-0.040203, -0.004639, 0.745299, 2.498360, 0.744810 
-0.035519, 0.018532, 0.757330, 2.501992, 0.757901 
-0.031888, 0.037233, 0.835728, 2.504046, 0.837021 
-0.028331, 0.041718, 0.922699, 2.505818, 0.924765 
-0.024839, 0.028605, 0.972867, 2.506895, 0.975521 
-0.022796, 0.011308, 0.968875, 2.505571, 0.971084 
-0.022090, -0.006519, 0.959937, 2.502701, 0.961065 
