position,velocity,density,energy,pressure
-0.600063, -0.009447, 0.541585, 2.499988, 0.541585 
-0.598222, -0.014623, 0.622542, 2.499959, 0.622542 
-0.596363, -0.016996, 0.698701, 2.499935, 0.698701 
-0.594491, -0.017404, 0.767555, 2.499923, 0.767555 
-0.592609, -0.016320, 0.827350, 2.499926, 0.827350 
-0.590718, -0.014013, 0.877078, 2.499940, 0.877078 
-0.588821, -0.010627, 0.916475, 2.499964, 0.916475 
-0.586916, -0.006240, 0.946024, 2.499994, 0.946024 
-0.585012, -0.001804, 0.966932, 2.500019, 0.966932 
-0.583112, 0.001846, 0.981004, 2.500034, 0.981004 
-0.581218, 0.004807, 0.989965, 2.500044, 0.989965 
-0.579327, 0.007145, 0.995275, 2.500049, 0.995275 
-0.577440, 0.008906, 0.998134, 2.500052, 0.998134 
-0.575557, 0.010088, 0.999490, 2.500053, 0.999490 
-0.573677, 0.010825, 1.000044, 2.500054, 1.000044 
-0.571845, 0.004417, 1.000253, 2.500045, 1.000253 
-0.570006, -0.001040, 1.000340, 2.500023, 1.000340 
-0.568158, -0.005175, 1.000341, 2.499996, 1.000341 
-0.566301, -0.007920, 1.000266, 2.499974, 1.000266 
-0.564430, -0.008415, 1.000134, 2.499960, 1.000134 
-0.562555, -0.008319, 0.999974, 2.499959, 0.999974 
-0.560670, -0.006855, 0.999814, 2.499969, 0.999814 
-0.558776, -0.004033, 0.999687, 2.499987, 0.999687 
-0.556879, -0.000763, 0.999617, 2.500005, 0.999617 
-0.554985, 0.002079, 0.999618, 2.500017, 0.999618 
-0.553094, 0.004487, 0.999687, 2.500024, 0.999687 
-0.551206, 0.006458, 0.999812, 2.500028, 0.999812 
-0.549321, 0.007988, 0.999970, 2.500030, 0.999970 
-0.547438, 0.009076, 1.000135, 2.500030, 1.000135 
-0.545559, 0.009757, 1.000278, 2.500030, 1.000278 
-0.543726, 0.003301, 1.000370, 2.500022, 1.000370 
-0.541885, -0.001707, 1.000397, 2.500002, 1.000397 
-0.540034, -0.005387, 1.000352, 2.499979, 1.000352 
-0.538175, -0.007746, 1.000246, 2.499962, 1.000246 
-0.536303, -0.007951, 1.000095, 2.499953, 1.000095 
-0.534430, -0.008502, 0.999924, 2.499956, 0.999924 
-0.532545, -0.006947, 0.999762, 2.499968, 0.999762 
-0.530651, -0.004071, 0.999637, 2.499987, 0.999637 
-0.528754, -0.000776, 0.999572, 2.500006, 0.999572 
-0.526860, 0.002076, 0.999580, 2.500017, 0.999580 
-0.524969, 0.004488, 0.999657, 2.500024, 0.999657 
-0.523080, 0.006459, 0.999789, 2.500028, 0.999789 
-0.521195, 0.007984, 0.999954, 2.500030, 0.999954 
-0.519313, 0.009074, 1.000124, 2.500031, 1.000124 
-0.517434, 0.009718, 1.000270, 2.500031, 1.000270 
-0.515601, 0.003295, 1.000366, 2.500023, 1.000366 
-0.513759, -0.001715, 1.000394, 2.500002, 1.000394 
-0.511909, -0.005394, 1.000351, 2.499980, 1.000351 
-0.510050, -0.007751, 1.000245, 2.499962, 1.000245 
-0.508178, -0.007953, 1.000094, 2.499953, 1.000094 
-0.506305, -0.008501, 0.999924, 2.499956, 0.999924 
-0.504419, -0.006944, 0.999762, 2.499968, 0.999762 
-0.502525, -0.004065, 0.999636, 2.499987, 0.999636 
-0.500628, -0.000773, 0.999572, 2.500006, 0.999572 
-0.498734, 0.002079, 0.999580, 2.500017, 0.999580 
-0.496843, 0.004490, 0.999657, 2.500024, 0.999657 
-0.494955, 0.006453, 0.999789, 2.500028, 0.999789 
-0.493070, 0.007982, 0.999954, 2.500030, 0.999954 
-0.491187, 0.009074, 1.000124, 2.500031, 1.000124 
-0.489308, 0.009719, 1.000270, 2.500031, 1.000270 
-0.487475, 0.003291, 1.000366, 2.500023, 1.000366 
-0.485634, -0.001720, 1.000394, 2.500002, 1.000394 
-0.483783, -0.005399, 1.000351, 2.499980, 1.000351 
-0.481924, -0.007753, 1.000245, 2.499962, 1.000245 
-0.480052, -0.007952, 1.000094, 2.499953, 1.000094 
-0.478179, -0.008499, 0.999924, 2.499956, 0.999924 
-0.476294, -0.006941, 0.999762, 2.499968, 0.999762 
-0.474400, -0.004063, 0.999636, 2.499987, 0.999636 
-0.472503, -0.000771, 0.999572, 2.500006, 0.999572 
-0.470609, 0.002080, 0.999580, 2.500017, 0.999580 
-0.468718, 0.004482, 0.999657, 2.500024, 0.999657 
-0.466829, 0.006449, 0.999789, 2.500028, 0.999789 
-0.464944, 0.007980, 0.999954, 2.500030, 0.999954 
-0.463062, 0.009074, 1.000124, 2.500031, 1.000124 
-0.461182, 0.009721, 1.000270, 2.500031, 1.000270 
-0.459350, 0.003290, 1.000366, 2.500023, 1.000366 
-0.457508, -0.001723, 1.000394, 2.500002, 1.000394 
-0.455658, -0.005400, 1.000351, 2.499980, 1.000351 
-0.453799, -0.007752, 1.000245, 2.499962, 1.000245 
