position,velocity,density,energy,pressure
-0.598125, 0.000000, 0.541667, 2.500000, 0.541667 
-0.596250, 0.000000, 0.623407, 2.500000, 0.623407 
-0.594375, 0.000000, 0.700518, 2.500000, 0.700518 
-0.592500, 0.000000, 0.770398, 2.500000, 0.770398 
-0.590625, 0.000000, 0.831111, 2.500000, 0.831111 
-0.588750, 0.000000, 0.881522, 2.500000, 0.881522 
-0.586875, 0.000000, 0.921339, 2.500000, 0.921339 
-0.585000, 0.000000, 0.951060, 2.500000, 0.951060 
-0.583125, 0.000000, 0.971833, 2.500000, 0.971833 
-0.581250, 0.000000, 0.985245, 2.500000, 0.985245 
-0.579375, 0.000000, 0.993082, 2.500000, 0.993082 
-0.577500, 0.000000, 0.997094, 2.500000, 0.997094 
-0.575625, 0.000000, 0.998789, 2.500000, 0.998789 
-0.573750, 0.000000, 0.999314, 2.500000, 0.999314 
-0.571875, 0.000000, 0.999400, 2.500000, 0.999400 
-0.570000, 0.000000, 0.999406, 2.500000, 0.999406 
-0.568125, 0.000000, 0.999436, 2.500000, 0.999436 
-0.566250, 0.000000, 0.999489, 2.500000, 0.999489 
-0.564375, 0.000000, 0.999557, 2.500000, 0.999557 
-0.562500, 0.000000, 0.999632, 2.500000, 0.999632 
-0.560507, 0.000549, 0.999710, 2.499697, 0.999589 
-0.558729, 0.000016, 0.999775, 2.499774, 0.999685 
-0.556887, -0.000138, 0.999836, 2.499837, 0.999771 
-0.555023, -0.000193, 0.999888, 2.499890, 0.999844 
-0.553145, -0.000171, 0.999929, 2.499933, 0.999902 
-0.551257, -0.000075, 0.999958, 2.499963, 0.999943 
-0.549361, 0.000074, 0.999974, 2.499980, 0.999966 
-0.547472, 0.000160, 0.999979, 2.499984, 0.999973 
-0.545594, 0.000178, 0.999975, 2.499980, 0.999967 
-0.543721, 0.000152, 0.999967, 2.499971, 0.999956 
-0.541852, 0.000096, 0.999961, 2.499963, 0.999946 
-0.539985, 0.000025, 0.999960, 2.499961, 0.999944 
-0.538119, -0.000055, 0.999966, 2.499966, 0.999953 
-0.536251, -0.000121, 0.999980, 2.499979, 0.999972 
-0.534381, -0.000158, 0.999998, 2.499997, 0.999997 
-0.532505, -0.000121, 1.000013, 2.500012, 1.000019 
-0.530617, 0.000036, 1.000020, 2.500019, 1.000028 
-0.528726, 0.000198, 1.000012, 2.500011, 1.000017 
-0.526846, 0.000227, 0.999996, 2.499994, 0.999994 
-0.524974, 0.000170, 0.999979, 2.499977, 0.999971 
-0.523106, 0.000082, 0.999970, 2.499968, 0.999958 
-0.521239, -0.000012, 0.999972, 2.499970, 0.999960 
-0.519370, -0.000087, 0.999983, 2.499981, 0.999975 
-0.517499, -0.000122, 0.999998, 2.499997, 0.999997 
-0.515623, -0.000099, 1.000013, 2.500012, 1.000018 
-0.513744, -0.000013, 1.000022, 2.500021, 1.000030 
-0.511862, 0.000091, 1.000022, 2.500022, 1.000031 
-0.509981, 0.000145, 1.000016, 2.500015, 1.000022 
-0.508105, 0.000146, 1.000006, 2.500004, 1.000008 
-0.506231, 0.000113, 0.999996, 2.499994, 0.999994 
-0.504359, 0.000059, 0.999991, 2.499989, 0.999987 
-0.502488, 0.000000, 0.999993, 2.499991, 0.999990 
-0.500617, -0.000050, 1.000001, 2.499999, 1.000001 
-0.498744, -0.000073, 1.000012, 2.500010, 1.000016 
-0.496869, -0.000054, 1.000022, 2.500020, 1.000030 
-0.494991, 0.000011, 1.000028, 2.500026, 1.000038 
-0.493113, 0.000083, 1.000028, 2.500026, 1.000039 
-0.491235, 0.000114, 1.000025, 2.500022, 1.000034 
-0.489359, 0.000111, 1.000019, 2.500016, 1.000026 
-0.487485, 0.000086, 1.000015, 2.500012, 1.000020 
-0.485611, 0.000054, 1.000014, 2.500011, 1.000019 
-0.483738, 0.000021, 1.000017, 2.500015, 1.000024 
-0.481865, -0.000004, 1.000023, 2.500021, 1.000033 
-0.479991, -0.000013, 1.000031, 2.500029, 1.000043 
-0.478116, -0.000001, 1.000037, 2.500036, 1.000053 
-0.476240, 0.000031, 1.000041, 2.500040, 1.000058 
-0.474364, 0.000067, 1.000042, 2.500041, 1.000059 
-0.472487, 0.000088, 1.000040, 2.500039, 1.000056 
-0.470611, 0.000089, 1.000036, 2.500035, 1.000050 
-0.468737, 0.000078, 1.000032, 2.500031, 1.000045 
-0.466863, 0.000062, 1.000029, 2.500029, 1.000041 
-0.464989, 0.000046, 1.000029, 2.500029, 1.000040 
-0.463115, 0.000033, 1.000030, 2.500030, 1.000041 
-0.461240, 0.000027, 1.000032, 2.500032, 1.000044 
-0.459365, 0.000027, 1.000034, 2.500034, 1.000047 
-0.457490, 0.000035, 1.000035, 2.500035, 1.000048 
-0.455614, 0.000049, 1.000035, 2.500035, 1.000048 
-0.453738, 0.000060, 1.000034, 2.500034, 1.000046 
-0.451863, 0.000060, 1.000033, 2.500032, 1.000044 
-0.449988, 0.000051, 1.000032, 2.500030, 1.000043 
-0.448114, 0.000041, 1.000032, 2.500029, 1.000043 
-0.446239, 0.000031, 1.000033, 2.500030, 1.000045 
-0.444365, 0.000022, 1.000036, 2.500031, 1.000048 
-0.442490, 0.000018, 1.000039, 2.500033, 1.000053 
-0.440615, 0.000018, 1.000042, 2.500036, 1.000058 
-0.438740, 0.000028, 1.000045, 2.500038, 1.000062 
-0.436865, 0.000051, 1.000048, 2.500040, 1.000066 
-0.434989, 0.000075, 1.000051, 2.500043, 1.000071 
-0.433114, 0.000086, 1.000055, 2.500046, 1.000076 
-0.431239, 0.000085, 1.000059, 2.500050, 1.000082 
-0.429365, 0.000079, 1.000064, 2.500055, 1.000089 
-0.427490, 0.000073, 1.000070, 2.500061, 1.000097 
-0.425615, 0.000069, 1.000076, 2.500068, 1.000106 
-0.423740, 0.000070, 1.000083, 2.500075, 1.000116 
-0.421866, 0.000076, 1.000089, 2.500082, 1.000125 
-0.419991, 0.000089, 1.000095, 2.500088, 1.000133 
-0.418116, 0.000105, 1.000099, 2.500093, 1.000140 
-0.416241, 0.000119, 1.000103, 2.500097, 1.000146 
-0.414366, 0.000130, 1.000106, 2.500101, 1.000150 
-0.412491, 0.000136, 1.000109, 2.500104, 1.000153 
-0.410616, 0.000138, 1.000111, 2.500107, 1.000156 
-0.408742, 0.000138, 1.000113, 2.500109, 1.000159 
-0.406867, 0.000138, 1.000115, 2.500112, 1.000161 
-0.404992, 0.000138, 1.000116, 2.500114, 1.000163 
-0.403117, 0.000138, 1.000118, 2.500116, 1.000165 
-0.401242, 0.000140, 1.000119, 2.500118, 1.000167 
-0.399368, 0.000141, 1.000119, 2.500119, 1.000167 
-0.397493, 0.000142, 1.000119, 2.500119, 1.000167 
-0.395618, 0.000142, 1.000119, 2.500119, 1.000167 
